code.ID,Database,Crop,Crop_Water,Database_Water,orderData,SEV_cond,orderBox,temp
2693,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.79
2694,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,34.49
2695,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,34.4
2703,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.41
2704,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.91
2705,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.8
2706,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.71
2715,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.49
2717,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.26
2859,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,34.67
3459,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.74
3460,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.6
3461,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.85
3463,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.61
3464,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.61
3465,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.6
3474,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.5
3475,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.45
3476,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.46
3477,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.47
3478,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.48
3479,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.47
3482,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.6
3483,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.61
3484,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.6
3485,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.59
3486,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.54
3942,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.01
3943,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.33
3944,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.95
3945,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.85
3946,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.68
3960,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.46
3961,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.41
3962,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.34
3963,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.28
3964,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.26
3965,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.26
3966,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.28
3967,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.17
3968,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.04
3969,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.82
3970,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.76
