code.rfl,Database,Crop,Crop_Water,Database_Water,orderData,SEV_cond,orderBox,NPQI
71,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.057360798
72,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.041202784
73,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.046806279
126,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.078319107
131,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.06384178
143,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.075165352
149,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.081377926
151,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.064706856
152,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.082462256
155,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.01813065
157,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.06749247
158,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.034093318
159,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.068017538
160,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.070866125
162,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.06354638
163,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.081942354
164,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.078297766
166,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.034665023
167,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.079451688
246,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.083076529
279,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.060762753
280,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.075944773
281,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.087854956
282,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.041901711
283,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.063153736
284,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.046363241
285,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.047137646
286,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.048121074
287,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.067343734
288,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.051674523
289,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.068675887
311,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.067097816
312,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.056760903
314,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.063810151
315,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.057219761
